id,exp_type
1,Medium Slow
2,Medium Slow
3,Medium Slow
4,Medium Slow
5,Medium Slow
6,Medium Slow
7,Medium Slow
8,Medium Slow
9,Medium Slow
10,Medium Fast
11,Medium Fast
12,Medium Fast
13,Medium Fast
14,Medium Fast
15,Medium Fast
16,Medium Slow
17,Medium Slow
18,Medium Slow
19,Medium Fast
20,Medium Fast
21,Medium Fast
22,Medium Fast
23,Medium Fast
24,Medium Fast
25,Medium Fast
26,Medium Fast
27,Medium Fast
28,Medium Fast
29,Medium Slow
30,Medium Slow
31,Medium Slow
32,Medium Slow
33,Medium Slow
34,Medium Slow
35,Fast
36,Fast
37,Medium Fast
38,Medium Fast
39,Fast
40,Fast
41,Medium Fast
42,Medium Fast
43,Medium Slow
44,Medium Slow
45,Medium Slow
46,Medium Fast
47,Medium Fast
48,Medium Fast
49,Medium Fast
50,Medium Fast
51,Medium Fast
52,Medium Fast
53,Medium Fast
54,Medium Fast
55,Medium Fast
56,Medium Fast
57,Medium Fast
58,Slow
59,Slow
60,Medium Slow
61,Medium Slow
62,Medium Slow
63,Medium Slow
64,Medium Slow
65,Medium Slow
66,Medium Slow
67,Medium Slow
68,Medium Slow
69,Medium Slow
70,Medium Slow
71,Medium Slow
72,Slow
73,Slow
74,Medium Slow
75,Medium Slow
76,Medium Slow
77,Medium Fast
78,Medium Fast
79,Medium Fast
80,Medium Fast
81,Medium Fast
82,Medium Fast
83,Medium Fast
84,Medium Fast
85,Medium Fast
86,Medium Fast
87,Medium Fast
88,Medium Fast
89,Medium Fast
90,Slow
91,Slow
92,Medium Slow
93,Medium Slow
94,Medium Slow
95,Medium Fast
96,Medium Fast
97,Medium Fast
98,Medium Fast
99,Medium Fast
100,Medium Fast
101,Medium Fast
102,Slow
103,Slow
104,Medium Fast
105,Medium Fast
106,Medium Fast
107,Medium Fast
108,Medium Fast
109,Medium Fast
110,Medium Fast
111,Slow
112,Slow
113,Fast
114,Medium Fast
115,Medium Fast
116,Medium Fast
117,Medium Fast
118,Medium Fast
119,Medium Fast
120,Slow
121,Slow
122,Medium Fast
123,Medium Fast
124,Medium Fast
125,Medium Fast
126,Medium Fast
127,Slow
128,Slow
129,Slow
130,Slow
131,Slow
132,Medium Fast
133,Medium Fast
134,Medium Fast
135,Medium Fast
136,Medium Fast
137,Medium Fast
138,Medium Fast
139,Medium Fast
140,Medium Fast
141,Medium Fast
142,Slow
143,Slow
144,Slow
145,Slow
146,Slow
147,Slow
148,Slow
149,Slow
150,Slow
151,Medium Slow
152,Medium Slow
153,Medium Slow
154,Medium Slow
155,Medium Slow
156,Medium Slow
157,Medium Slow
158,Medium Slow
159,Medium Slow
160,Medium Slow
161,Medium Fast
162,Medium Fast
163,Medium Fast
164,Medium Fast
165,Fast
166,Fast
167,Fast
168,Fast
169,Medium Fast
170,Slow
171,Slow
172,Medium Fast
173,Fast
174,Fast
175,Fast
176,Fast
177,Medium Fast
178,Medium Fast
179,Medium Slow
180,Medium Slow
181,Medium Slow
182,Medium Slow
183,Fast
184,Fast
185,Medium Fast
186,Medium Slow
187,Medium Slow
188,Medium Slow
189,Medium Slow
190,Fast
191,Medium Slow
192,Medium Slow
193,Medium Fast
194,Medium Fast
195,Medium Fast
196,Medium Fast
197,Medium Fast
198,Medium Slow
199,Medium Fast
200,Fast
201,Medium Fast
202,Medium Fast
203,Medium Fast
204,Medium Fast
205,Medium Fast
206,Medium Fast
207,Medium Slow
208,Medium Fast
209,Fast
210,Fast
211,Medium Fast
212,Medium Fast
213,Medium Slow
214,Slow
215,Medium Slow
216,Medium Fast
217,Medium Fast
218,Medium Fast
219,Medium Fast
220,Slow
221,Slow
222,Fast
223,Medium Fast
224,Medium Fast
225,Fast
226,Slow
227,Slow
228,Slow
229,Slow
230,Medium Fast
231,Medium Fast
232,Medium Fast
233,Medium Fast
234,Slow
235,Fast
236,Medium Fast
237,Medium Fast
238,Medium Fast
239,Medium Fast
240,Medium Fast
241,Slow
242,Fast
243,Slow
244,Slow
245,Slow
246,Slow
247,Slow
248,Slow
249,Slow
250,Slow
251,Medium Slow
252,Medium Slow
253,Medium Slow
254,Medium Slow
255,Medium Slow
256,Medium Slow
257,Medium Slow
258,Medium Slow
259,Medium Slow
