pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
1,14,22,1,9,
1,14,33,1,1,
1,14,36,1,15,
1,14,38,1,27,
1,14,45,1,3,
1,14,73,1,7,
1,14,74,1,25,
1,14,75,1,19,
1,14,77,1,13,1
1,14,79,1,13,2
1,14,230,1,21,
1,14,235,1,33,
1,14,388,1,31,
1,14,402,1,37,
2,14,22,1,9,
2,14,33,1,1,1
2,14,36,1,15,
2,14,38,1,31,
2,14,45,1,1,2
2,14,45,1,3,
2,14,73,1,1,3
2,14,73,1,7,
2,14,74,1,28,
2,14,75,1,20,
2,14,76,1,44,
2,14,77,1,13,1
2,14,79,1,13,2
2,14,230,1,23,
2,14,235,1,39,
2,14,388,1,36,
3,14,22,1,1,4
3,14,22,1,9,
3,14,33,1,1,1
3,14,36,1,15,
3,14,38,1,31,
3,14,45,1,1,2
3,14,45,1,3,
3,14,73,1,1,3
3,14,73,1,7,
3,14,74,1,28,
3,14,75,1,20,
3,14,76,1,53,
3,14,77,1,13,1
3,14,79,1,13,2
3,14,80,1,32,
3,14,230,1,23,
3,14,235,1,45,
3,14,388,1,39,
4,14,45,1,1,2
4,14,52,1,7,
4,14,53,1,37,
4,14,82,1,16,
4,14,83,1,43,
4,14,108,1,10,
4,14,163,1,34,
4,14,184,1,19,
4,14,424,1,25,
4,14,481,1,28,
4,14,517,1,46,
5,14,45,1,1,2
5,14,52,1,1,3
5,14,52,1,7,
5,14,53,1,43,
5,14,82,1,17,
5,14,83,1,50,
5,14,108,1,10,
5,14,163,1,39,
5,14,184,1,21,
5,14,424,1,28,
5,14,481,1,32,
5,14,517,1,54,
6,14,17,1,36,
6,14,45,1,1,5
6,14,52,1,1,6
6,14,52,1,7,
6,14,53,1,47,
6,14,82,1,17,
6,14,83,1,56,
6,14,108,1,1,7
6,14,108,1,10,
6,14,163,1,41,
6,14,184,1,21,
6,14,257,1,71,
6,14,337,1,1,1
6,14,394,1,77,
6,14,403,1,1,3
6,14,421,1,1,2
6,14,424,1,28,
6,14,481,1,32,
6,14,517,1,62,
7,14,33,1,1,
7,14,39,1,4,
7,14,44,1,16,
7,14,55,1,13,
7,14,56,1,40,
7,14,110,1,10,
7,14,130,1,31,
7,14,145,1,7,
7,14,182,1,22,
7,14,229,1,19,
7,14,240,1,37,
7,14,334,1,34,
7,14,352,1,25,
7,14,401,1,28,
8,14,33,1,1,1
8,14,39,1,1,2
8,14,39,1,4,
8,14,44,1,16,
8,14,55,1,13,
8,14,56,1,48,
8,14,110,1,10,
8,14,130,1,36,
8,14,145,1,1,3
8,14,145,1,7,
8,14,182,1,24,
8,14,229,1,20,
8,14,240,1,44,
8,14,334,1,40,
8,14,352,1,28,
8,14,401,1,32,
9,14,33,1,1,2
9,14,39,1,1,3
9,14,39,1,4,
9,14,44,1,16,
9,14,55,1,13,
9,14,56,1,60,
9,14,110,1,1,5
9,14,110,1,10,
9,14,130,1,39,
9,14,145,1,1,4
9,14,145,1,7,
9,14,182,1,24,
9,14,229,1,20,
9,14,240,1,53,
9,14,334,1,46,
9,14,352,1,28,
9,14,401,1,32,
9,14,430,1,1,1
10,14,33,1,1,1
10,14,81,1,1,2
10,14,450,1,15,
11,14,106,1,1,
11,14,106,1,7,
12,14,16,1,16,
12,14,18,1,22,
12,14,48,1,18,
12,14,60,1,24,
12,14,77,1,12,1
12,14,78,1,12,2
12,14,79,1,12,3
12,14,93,1,1,
12,14,93,1,10,
12,14,219,1,36,
12,14,318,1,28,
12,14,366,1,30,
12,14,405,1,42,
12,14,445,1,40,
12,14,476,1,34,
12,14,483,1,46,
13,14,40,1,1,1
13,14,81,1,1,2
13,14,450,1,15,
14,14,106,1,1,
14,14,106,1,7,
15,14,31,1,1,
15,14,31,1,10,
15,14,41,1,16,
15,14,42,1,28,
15,14,97,1,31,
15,14,99,1,19,
15,14,116,1,13,
15,14,228,1,22,
15,14,283,1,40,
15,14,372,1,34,
15,14,390,1,25,
15,14,398,1,37,
16,14,16,1,9,
16,14,17,1,33,
16,14,18,1,17,
16,14,28,1,5,
16,14,33,1,1,
16,14,97,1,29,
16,14,98,1,13,
16,14,119,1,45,
16,14,239,1,21,
16,14,297,1,25,
16,14,355,1,37,
16,14,366,1,41,
16,14,403,1,49,
16,14,542,1,53,
17,14,16,1,1,3
17,14,16,1,9,
17,14,17,1,37,
17,14,18,1,17,
17,14,28,1,1,2
17,14,28,1,5,
17,14,33,1,1,1
17,14,97,1,32,
17,14,98,1,13,
17,14,119,1,52,
17,14,239,1,22,
17,14,297,1,27,
17,14,355,1,42,
17,14,366,1,47,
17,14,403,1,57,
17,14,542,1,62,
18,14,16,1,1,3
18,14,16,1,9,
18,14,17,1,38,
18,14,18,1,17,
18,14,28,1,1,2
18,14,28,1,5,
18,14,33,1,1,1
18,14,97,1,32,
18,14,98,1,1,4
18,14,98,1,13,
18,14,119,1,56,
18,14,239,1,22,
18,14,297,1,27,
18,14,355,1,44,
18,14,366,1,50,
18,14,403,1,62,
18,14,542,1,68,
19,14,33,1,1,1
19,14,38,1,31,
19,14,39,1,1,2
19,14,44,1,10,
19,14,98,1,4,
19,14,116,1,7,
19,14,158,1,16,
19,14,162,1,28,
19,14,228,1,13,
19,14,242,1,22,
19,14,283,1,34,
19,14,372,1,25,
19,14,389,1,19,
20,14,14,1,1,1
20,14,33,1,1,2
20,14,38,1,39,
20,14,39,1,1,3
20,14,44,1,10,
20,14,98,1,1,4
20,14,98,1,4,
20,14,116,1,1,5
20,14,116,1,7,
20,14,158,1,16,
20,14,162,1,34,
20,14,184,1,20,
20,14,228,1,13,
20,14,242,1,24,
20,14,283,1,44,
20,14,372,1,29,
20,14,389,1,19,
21,14,31,1,9,
21,14,43,1,5,
21,14,45,1,1,2
21,14,64,1,1,1
21,14,65,1,37,
21,14,97,1,25,
21,14,119,1,21,
21,14,228,1,13,
21,14,332,1,17,
21,14,355,1,33,
21,14,372,1,29,
22,14,31,1,1,5
22,14,31,1,9,
22,14,43,1,1,4
22,14,43,1,5,
22,14,45,1,1,3
22,14,64,1,1,2
22,14,65,1,47,
22,14,97,1,29,
22,14,119,1,23,
22,14,228,1,13,
22,14,332,1,17,
22,14,355,1,41,
22,14,365,1,1,1
22,14,372,1,35,
22,14,529,1,53,
23,14,35,1,1,1
23,14,40,1,4,
23,14,43,1,1,2
23,14,44,1,9,
23,14,51,1,20,
23,14,103,1,17,
23,14,114,1,41,
23,14,137,1,12,
23,14,254,1,25,1
23,14,255,1,25,3
23,14,256,1,25,2
23,14,380,1,36,
23,14,426,1,33,
23,14,441,1,49,
23,14,489,1,44,
23,14,491,1,28,
24,14,35,1,1,4
24,14,40,1,1,6
24,14,40,1,4,
24,14,43,1,1,5
24,14,44,1,1,7
24,14,44,1,9,
24,14,51,1,20,
24,14,103,1,17,
24,14,114,1,51,
24,14,137,1,12,
24,14,242,1,22,
24,14,254,1,27,1
24,14,255,1,27,3
24,14,256,1,27,2
24,14,380,1,44,
24,14,422,1,1,2
24,14,423,1,1,1
24,14,424,1,1,3
24,14,426,1,39,
24,14,441,1,63,
24,14,489,1,56,
24,14,491,1,32,
25,14,21,1,26,
25,14,39,1,5,
25,14,45,1,1,1
25,14,84,1,1,2
25,14,85,1,29,
25,14,86,1,10,
25,14,87,1,50,
25,14,97,1,37,
25,14,98,1,13,
25,14,104,1,21,
25,14,113,1,45,
25,14,364,1,34,
25,14,435,1,42,
25,14,486,1,18,
26,14,39,1,1,2
26,14,84,1,1,1
26,14,85,1,1,4
26,14,98,1,1,3
27,14,14,1,38,
27,14,28,1,3,
27,14,40,1,5,
27,14,89,1,46,
27,14,91,1,30,
27,14,111,1,1,2
27,14,129,1,11,
27,14,154,1,20,
27,14,163,1,26,
27,14,201,1,42,
27,14,205,1,7,
27,14,210,1,14,
27,14,222,1,17,
27,14,229,1,9,
27,14,328,1,23,
27,14,360,1,34,
28,14,14,1,38,
28,14,28,1,1,3
28,14,28,1,3,
28,14,40,1,1,4
28,14,40,1,5,
28,14,89,1,46,
28,14,91,1,30,
28,14,111,1,1,2
28,14,129,1,11,
28,14,154,1,20,
28,14,163,1,26,
28,14,201,1,42,
28,14,205,1,7,
28,14,210,1,14,
28,14,222,1,17,
28,14,229,1,9,
28,14,306,1,22,
28,14,328,1,23,
28,14,360,1,34,
29,14,24,1,9,
29,14,39,1,7,
29,14,40,1,13,
29,14,44,1,21,
29,14,45,1,1,1
